industry,sum(value)
Machinery & equipment wholesaling,15516
Arts & recreation services,8916
Insurance,591
Education & training,18552
"Textile, clothing, footwear, & leather",4500
Mining,1986
Other wholesale trade,39630
Publishing,2697
Commercial fishing,789
Finance,3333
Information media & telecommunications,7248
Administrative & support services,28515
Computer systems design,15651
Wholesale trade,55347
Retail trade,87015
"Agriculture, forestry, & fishing support services",16968
Other machinery & equipment,4245
Construction,125841
Other services,24660
"Printing, publishing, & recorded media",3609
Telecommunications,1995
Health care & social assistance,46173
Other professional scientific,67797
Agriculture,42396
Other manufacturing,6777
"Petroleum, coal, chemical, & associated product",7698
"Agriculture, forestry, & fishing",64911
"Professional, scientific, & technical services",83121
"Transport, postal, & warehousing",30027
Forestry & logging,4833
"Electricity, gas, water, & waste services",3711
"Rental, hiring, & real estate services",17589
Accommodation & food services,114771
Auxiliary,6810
Wood & paper product,9492
total,1652820
Metal product,17559
Manufacturing,96651
"Food, beverage, & tobacco",22452
Non-metallic mineral product,3585
Motion picture,2232
Financial & insurance services,10509
Transport and industrial machinery & equipment,16665
